"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 0";199069910.421187;35689442.3444163;4466858.20967455;31159193.3584041;47288025.118529;39714681.3979094;9403924.48493248;49875678.0971602;26848247.0443232;52093106.643651
"nephrops Group 1";2470854.00582284;620054.011320774;78352.081389502;516511.544715604;784156.914581474;658571.423748636;155941.221706304;612052.966926357;329414.095160296;646470.047622971
"nephrops Group 2";7737968.10016965;1962576.85629044;248079.761719189;1631966.31693283;2477646.30764201;2080842.52785074;492716.68078834;1916238.67646502;1031337.69560734;2024540.04190944
"nephrops Group 3";11521367.93371;2980805.10925785;376993.924849422;2469694.78584514;3749547.17090591;3149043.98958738;745653.013834049;2851820.44480728;1534865.34045645;3014395.88483012
"nephrops Group 4";12615818.5158605;3257102.30379321;412066.315274302;2689909.5507717;4083844.92879744;3429802.78451314;812133.076446399;3125699.7203109;1682353.52974256;3300897.44002502
"nephrops Group 5";12429187.1655988;2968012.1858775;374625.243030511;2457397.41615917;3730410.98337072;3132972.52986315;741847.499392299;3094700.20114787;1665901.71839897;3252497.78306855
"nephrops Group 6";11585434.5891049;2388683.28723505;300009.459269081;2001302.01779558;3037440.93303852;2550984.07299158;604040.136802939;2906263.99835626;1564700.96251795;3032144.31212964
"nephrops Group 7";10314910.3152242;1662736.94144792;206740.705618415;1420918.63028591;2155842.74326029;1810576.93735299;428721.273688075;2622006.04954703;1411904.60277172;2700083.02669361
"nephrops Group 8";9087119.74861618;1172290.01585425;144777.557082615;1025655.42584017;1555773.37170131;1306610.7884522;309388.587628187;2333220.20783922;1256565.67939421;2379003.51271019
"nephrops Group 9";7751791.57567572;632289.396036237;76100.5210010203;566828.647164341;859101.476527664;721513.350224491;170845.058340035;2048771.58281539;1103704.79529661;2030019.6483465
"nephrops Group 10";6668180.62143307;399084.539348718;47478.7740346266;367396.52683536;556620.054872233;467475.393263478;110692.145626662;1792140.3059807;965639.459944461;1746578.62674864
"nephrops Group 11";5818296.28811101;289224.446065368;34330.6881766696;272962.280909311;413504.617172373;347280.396810873;82231.5202276493;1576168.20092014;849362.362627349;1524133.09192753
"nephrops Group 12";5248848.90387814;261377.873038744;31305.6802182693;251340.401226907;380840.375809287;319847.448710635;75735.751830341;1413932.24385771;761919.73838053;1374930.78762983
"nephrops Group 13";4791395.33199111;236194.690727691;28378.3935732103;229636.077494341;347975.474652365;292245.977189053;69200.0792597525;1286937.0064307;693480.556911057;1255091.35838976
