"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 0";137112242.771564;64058970.4465631;8225350.36515287;48819925.7955778;74162285.8263024;62284934.6309075;14748269.435918;33320205.6912201;17927824.1132977;35862888.9106177
"nephrops Group 1";1656727.69704786;1033725.66096816;133943.966286166;754002.674152694;1145926.0601713;962401.966907945;227884.376819631;398704.516209257;214492.542101561;433272.9755572
"nephrops Group 2";5186119.48712367;3252680.41312496;421533.582345999;2370519.47872315;3602714.49033649;3025727.07979893;716453.159610194;1247898.42867783;671335.065394496;1356288.37127383
"nephrops Group 3";7715186.0047977;4884707.70692984;633220.054429451;3553663.93848862;5400899.88972589;4535926.75618888;1074048.97088336;1855970.87700835;998457.930608855;2017689.98548719
"nephrops Group 4";8444719.44341063;5290858.56294518;685858.322465738;3843487.28424852;5841246.26380316;4905750.10802836;1161618.37219917;2033140.04852214;1093810.57438437;2208557.39258734
"nephrops Group 5";8348549.60424443;4891196.99473784;633090.208670229;3562048.84211649;5412940.28134777;4546038.83669913;1076443.38116582;2016445.68474467;1084937.22934054;2183615.56932691
"nephrops Group 6";7853383.1390956;4096055.29731778;528554.044628844;3012457.22397754;4577000.43983571;3843977.70409197;910204.357146067;1905703.17230326;1025463.70722308;2054318.25492858
"nephrops Group 7";7125919.42607686;3076074.48698077;394738.574636475;2302619.69685939;3497553.35375983;2937407.86951016;695540.309377227;1742127.69581269;937558.978902692;1864252.49881139
"nephrops Group 8";6392954.99928824;2315175.24722639;295679.071850993;1770311.21504629;2688348.5331448;2257800.0500712;534617.940408908;1573394.43969048;846833.417406188;1672656.91987472
"nephrops Group 9";5631249.77106021;1465188.68331081;184861.020166294;1146212.64899052;1739522.7386255;1460932.04729459;345929.871946532;1405855.75239873;756812.360642396;1473657.97599499
"nephrops Group 10";4959920.57075671;1019310.60992019;127620.642011189;817644.275068005;1240315.19726799;1041674.35136094;246655.055341951;1251757.07410636;673944.185256908;1298142.97740239
