"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 0";156533859.715107;54981293.0115554;7008773.15789251;43648372.0108375;66288160.3322517;55671878.0589838;13182382.9066047;38370052.4873417;20647779.2217083;40948495.542238
"nephrops Group 1";1908871.96381688;898877.694595039;115451.277214685;684123.736178054;1039265.62219053;872823.573613873;206673.368286566;463776.781663553;249532.742906321;499280.332085956
"nephrops Group 2";5975531.03887691;2837063.76078105;364498.39953996;2156241.99726676;3275635.1805145;2751030.67306871;651408.592355797;1451459.42525846;780947.787138086;1562941.49090563
"nephrops Group 3";8889858.92978025;4286169.79736835;550965.884179134;3248270.63826183;4934695.2836334;4144386.45923649;981337.276977079;2158397.5386565;1161304.47488078;2325191.03865808
"nephrops Group 4";9725797.9697259;4663183.71270247;599581.214868314;3524870.19582599;5354883.04673237;4497279.67262291;1064897.83979972;2363203.06922977;1271552.9094902;2543938.73914726
"nephrops Group 5";9594043.21469474;4291091.06789956;550910.228091669;3251061.07644633;4938458.50149499;4147546.98450751;982085.648610319;2339630.7638049;1259015.757822;2509754.99434028
"nephrops Group 6";8983331.72850548;3540902.73319633;453113.326784505;2711488.65905251;4118190.42937917;3458647.73224857;818963.188151387;2202240.94981881;1185229.45790757;2350278.14634989
"nephrops Group 7";8085186.56625698;2594057.55500439;329928.272983655;2024022.97096669;3073285.36028177;2581087.88900606;611168.332284908;1998856.70572373;1075915.99842819;2115583.17965558
"nephrops Group 8";7195443.12190427;1900741.79210657;240602.16230125;1516925.05918968;2302863.49866828;1934051.80113241;457958.529380377;1791392.32724871;964349.321484349;1882973.36329864
"nephrops Group 9";6275573.90185007;1157505.1743197;144516.996234233;946097.220508371;1435436.44859904;1205546.2472828;285457.807377449;1587525.7804248;854786.983365167;1642605.10951635
"nephrops Group 10";5484263.86527923;777712.803141509;96390.3625142369;652629.444548417;989867.311055374;831336.575935069;196849.782158073;1401982.63849521;754995.149474182;1435694.3686726
"nephrops Group 11";4833647.06472568;575548.023688979;71122.2417605443;494851.738736754;750457.093112216;630268.747342435;149239.51286018;1243688.42981825;669813.099737351;1265489.3532091
"nephrops Group 12";4361261.19005121;503552.489642939;62379.8664691657;440487.91929899;668060.11747904;561067.937471001;132853.653338683;1121927.0166779;604236.294977614;1141814.52795982
"nephrops Group 13";3980931.42091928;450047.981006811;55744.0415555108;397291.936855568;602499.482345457;506007.068888554;119815.949597936;1024940.3468334;552002.235452436;1042241.34491952
"nephrops Group 14";3653022.43618979;418965.585835877;51864.1895458174;370103.402021433;561181.169337851;471306.029188057;111599.190822444;940851.081191155;506706.394099955;956377.928618958
"nephrops Group 15";3374247.47886587;411574.446848847;50942.0398503484;361020.079190906;547320.364552213;459665.08109178;108842.764408404;868156.167085991;467537.328719922;883359.803373072
"nephrops Group 16";3104467.1465778;402191.091862799;49752.4923527725;350128.357610385;530728.049839729;445730.0840009;105543.136771273;797877.832617565;429672.778514961;812702.091414818
"nephrops Group 17";2845835.60277776;396045.807608469;48995.8529693769;341898.573080288;518218.527692216;435224.005870479;103055.432932448;729960.960730119;393080.141191365;744963.041001272
"nephrops Group 18";2591777.33885348;386555.946334563;47840.7621780601;330950.390294822;501632.384374343;421294.191803634;99757.0325685802;663276.195873686;357154.733472697;678427.825071766
"nephrops Group 19";2348458.77269925;384254.937320509;47653.9553527722;325641.028218812;493655.881178508;414595.153679332;98170.786716286;598820.331053738;322428.724924601;614701.851949148
"nephrops Group 20";2110068.62651738;376502.691900585;46793.6210159967;315559.527982191;478458.684837088;401831.841840275;95148.5990394019;536172.559423768;288682.047585645;552276.450373179
"nephrops Group 21";1874528.97937537;351641.522947306;43759.8245350166;291831.660193289;442527.139262228;371654.859801732;88003.0787863158;475142.227596711;255818.060281539;490619.523190916
"nephrops Group 22";1627972.85430376;292360.354663011;36337.8474237138;242587.921976015;367834.125498919;308924.195181586;73149.2662360651;412810.097186592;222268.289918536;426107.994208071
"nephrops Group 23";1367654.89852908;203251.223168108;25131.9604268068;170952.344603068;259142.30282908;217639.750608761;51534.2867575431;348856.318967408;187863.116516781;358027.428799367
