"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 0";119002827.230079;73888840.9562706;9572544.24934436;53937968.8272348;81973943.6420148;68845527.9431231;16301733.3417792;28642926.5577642;15409172.8740618;31122082.3149152
"nephrops Group 1";1436965.35507535;1078794.76993349;140549.250332114;765265.648508623;1163277.64073268;976974.630748702;231334.995721235;343831.939311406;184956.561197494;375767.64686422
"nephrops Group 2";4497612.07547044;3391724.63646512;441950.281676674;2404265.09017983;3654734.42984862;3069415.84283956;726798.095387415;1076035.00818005;578827.412536847;1176127.06630981
"nephrops Group 3";6688897.4971266;5086141.02194055;662872.048578855;3599964.48928245;5472330.83408823;4595917.78330815;1088254.07259752;1599993.23071215;860675.613129155;1749143.55097472
"nephrops Group 4";7319845.70062484;5504027.3079345;717305.489605041;3890986.65597663;5914592.49252861;4967349.67997639;1176204.35658865;1752229.58367442;942599.630443495;1914199.0331456
"nephrops Group 5";7234816.66067443;5117246.27952111;665428.642175258;3626331.34837204;5511207.03814157;4628567.82640191;1095985.18182152;1738078.37806896;935070.131921455;1892125.6758923
"nephrops Group 6";6808362.35148009;4343902.18247392;562428.259345154;3107078.37007827;4720463.74923198;3964464.85936397;938734.161986498;1644532.85241696;884825.725453615;1780756.67738954
"nephrops Group 7";6180634.48903084;3355295.19910273;430509.9635669;2441098.17941457;3705967.2427326;3112443.54035296;736986.499371385;1507822.66117098;811350.48608641;1616730.46099971
"nephrops Group 8";5565657.74745022;2587949.22176668;330046.882823184;1921626.43927663;2916161.81641466;2449128.23391047;579921.987409485;1367298.68716041;735791.926442189;1455976.49079868
"nephrops Group 9";4890901.25264432;1752007.10252378;218379.958735642;1329916.78086447;2014189.80946699;1691610.21965693;400551.488861528;1228726.01807189;661319.232460285;1279650.00021946
"nephrops Group 10";4332339.85886656;1269632.31831779;156571.938831117;987237.902441949;1494023.67302102;1254750.52143201;297108.74506971;1101152.52429518;592717.344101592;1133623.37236032
"nephrops Group 11";3879009.95506748;989504.489640252;121752.561681812;785994.153322211;1189539.42377451;999030.496770444;236557.540412961;989870.893704841;532851.076843949;1015065.66074587
"nephrops Group 12";3554274.54803405;881594.573944178;109414.269988512;709222.977364323;1074531.48210254;902441.481892305;213686.5070818;900582.786955729;484785.058827834;930084.7441596
"nephrops Group 13";3272682.94013346;808359.901048343;100742.018618802;652725.804806474;989534.677067793;831057.214451781;196783.632960839;825845.99907901;444551.83167512;856393.497625563
"nephrops Group 14";3014254.79047309;766137.244311587;95801.7356853074;616226.309078476;934602.616036767;784922.716406885;185859.578669237;757868.044308696;407953.459331653;788756.952678995
"nephrops Group 15";2777402.82732822;753530.998879765;94572.9565261885;599799.424476884;910012.920366743;764271.147077045;180969.553327541;695531.810581033;374387.777517654;726758.027325279
"nephrops Group 16";2537071.7314362;730507.974948701;91912.5118070679;575532.445562076;873372.372413275;733498.711887177;173683.037445829;633664.254033545;341077.902297302;663855.306251325
"nephrops Group 17";2300396.0411566;702279.574044886;88585.5125944108;547900.921923615;831592.968713102;698410.426791996;165374.583953911;573164.615541279;308506.015299439;601912.191590158
"nephrops Group 18";2068813.19030239;661506.946187739;83562.160924531;511943.34284306;777070.529110383;652619.947861417;154531.988952891;514851.979474249;277114.267484957;541307.407984486
"nephrops Group 19";1856026.17295564;624089.182410382;79042.5802488373;479438.469905489;727861.644009845;611292.038970832;144746.072998202;460913.351453616;248076.516829069;485620.049437408
"nephrops Group 20";1662037.3048193;581046.491125187;73697.9719852591;443624.727141491;673535.102856031;565666.084662821;133942.435306471;412277.583115549;221895.154309285;434855.558105521
"nephrops Group 21";1487733.79271861;526065.194936135;66754.2479485995;399862.764280666;607078.157816117;509852.453361386;120726.487059781;368891.210570298;198544.25865009;389251.694223792
"nephrops Group 22";1319617.44899956;442743.352343138;56114.398593652;337430.823922103;512235.713286013;430199.360256508;101865.661637447;327529.694352862;176289.949285737;345279.933658199
"nephrops Group 23";1143099.65214303;329042.730062197;41474.6015687862;254036.747035626;385468.161155707;323734.077939712;76656.0555186664;285236.646663067;153543.139608228;299127.002038894
"nephrops Group 24";972589.70919988;240875.278224357;30243.6184047389;189195.734158605;287005.649839773;241040.684490761;57075.3261756463;243457.730201039;131065.78809691;254531.819599971
"nephrops Group 25";807509.899813867;179868.062936157;22496.3204935936;142852.067816808;216631.872439586;181937.515322449;43080.457776469;202668.969599337;109114.874924757;211344.74111845
"nephrops Group 26";585764.303015155;94189.3908268041;11698.4501228019;77156.81430145;116944.806177198;98215.6837132925;23256.2075375086;148916.745877674;80195.1298912482;153346.024394338
"nephrops Group 27";394121.763800649;38302.1280731637;4718.51265811345;33550.7203904518;50832.6152452823;42691.5929356049;10108.8187535866;101335.356984464;54587.2004278647;103206.103612204
"nephrops Group 28";149207.451942382;10392.4444648784;1236.99691044664;9277.49654852545;14011.4839531771;11767.4954646036;2786.39119919372;39819.6169816585;21457.5727098673;39084.2979053646
