"q_name";"january";"february";"march";"april";"may";"june";"july";"august";"september";"october";"november";"december"
"q00";0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422;0.0163804501445422
"q01";0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188;0.026066598632188
"q02";0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812;0.0404385243989812
"q03";0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721;0.0339340320613721
"q04";0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022;0.0272476653987022
"q05";0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073;0.0264676564471073
"q06";0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699;0.0337793581614699
"q07";0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639;0.0311255699424639
"q08";0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868;0.0299696830413868
"q09";0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623;0.0319698921180623
