"q_name";"january";"february";"march";"april";"may";"june";"july";"august";"september";"october";"november";"december"
"q00";0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183;0.0102861407438183
"q01";0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773;0.0230713797145773
"q02";0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508;0.0320428955389508
"q03";0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184;0.0268442258403184
"q04";0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767;0.0241811019461767
"q05";0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793;0.0279774259173793
"q06";0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829;0.0357276838761829
"q07";0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703;0.0384297522612703
"q08";0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613;0.0372154804419613
"q09";0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754;0.038776348833754
