"q_name";"january";"february";"march";"april";"may";"june";"july";"august";"september";"october";"november";"december"
"q00";1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05;1.83031133335657e-05
"q01";0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061
"q02";0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061
"q03";0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061
"q04";0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061;0.178927188014061
"q05";0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997
"q06";0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997
"q07";0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997
"q08";0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997;0.00541769698250997
"q09";0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114
"q10";0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114
"q11";0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114;0.0959289385820114
"q12";0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399
"q13";0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399
"q14";0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399;0.00831099890560399
"q15";0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176
"q16";0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176
"q17";0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176;0.000396129016032176
"q18";3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05
"q19";3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05;3.12450784005242e-05
"q20";1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05
"q21";1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05;1.82825294156929e-05
"q22";8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07;8.68901916886424e-07
