[27,12]
Metier:D_2_Zunique @ Chalutiers Arts dormants-10-12,D_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,F_1_Zunique @ Chalutiers Arts dormants-10-12,F_low_activity_3_Zunique @ Chalutiers Arts dormants-10-12,F_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,G_1_Zunique @ Chalutiers Arts dormants-10-12,G_2_Zunique @ Chalutiers Arts dormants-10-12,G_3_Zunique @ Chalutiers Arts dormants-10-12,G_4_Zunique @ Chalutiers Arts dormants-10-12,G_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12,G_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,L_1_Zunique @ Chalutiers Arts dormants-10-12,L_3_Zunique @ Chalutiers Arts dormants-10-12,L_low_activity_3_Zunique @ Chalutiers Arts dormants-10-12,L_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,M_2_Zunique @ Chalutiers Arts dormants-10-12,M_3_Zunique @ Chalutiers Arts dormants-10-12,M_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12,M_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,O_1_Zunique @ Chalutiers Arts dormants-10-12,O_2_Zunique @ Chalutiers Arts dormants-10-12,O_3_Zunique @ Chalutiers Arts dormants-10-12,O_4_Zunique @ Chalutiers Arts dormants-10-12,O_5_Zunique @ Chalutiers Arts dormants-10-12,O_low_activity_2_Zunique @ Chalutiers Arts dormants-10-12,O_metier_OTH_Zunique @ Chalutiers Arts dormants-10-12,T_low_activity_4_Zunique @ Chalutiers Arts dormants-10-12
fr.ifremer.isisfish.types.Month:0,1,2,3,4,5,6,7,8,9,10,11
25;0;0.034
10;0;0.266
4;0;0.249
2;0;0.017
5;0;0.14
7;0;0.115
14;0;0.047
12;0;0.047
20;0;0.072
1;0;0.014
25;1;0.029
10;1;0.259
4;1;0.205
5;1;0.097
7;1;0.154
14;1;0.044
12;1;0.006
20;1;0.112
1;1;0.094
25;2;0.024
10;2;0.084
4;2;0.156
5;2;0.305
7;2;0.134
9;2;0.004
14;2;0.025
12;2;0.008
20;2;0.2
1;2;0.028
22;2;0.032
25;3;0.016
10;3;0.068
4;3;0.031
5;3;0.413
7;3;0.052
23;3;0.051
12;3;0.039
20;3;0.187
22;3;0.141
21;3;0.001
25;4;0.047
10;4;0.079
4;4;0.004
5;4;0.367
7;4;0.027
9;4;0.001
23;4;0.059
24;4;0.004
12;4;0.003
20;4;0.264
22;4;0.134
3;4;0.004
18;4;0.001
16;4;0.004
25;5;0.031
10;5;0.047
4;5;0.036
5;5;0.242
7;5;0.008
9;5;0.002
14;5;0.001
23;5;0.115
24;5;0.008
12;5;0.044
20;5;0.303
22;5;0.145
18;5;0.004
16;5;0.002
11;5;0.011
25;6;0.042
10;6;0.012
5;6;0.094
7;6;0.02
9;6;0.04
14;6;0.024
23;6;0.098
24;6;0.03
12;6;0.017
20;6;0.34
22;6;0.27
18;6;0.012
17;6;0.001
25;7;0.056
10;7;0.066
4;7;0.021
5;7;0.059
7;7;0.006
9;7;0.04
14;7;0.043
23;7;0.064
24;7;0.016
12;7;0.041
20;7;0.31
22;7;0.256
8;7;0.021
21;7;0.002
25;8;0.036
10;8;0.029
4;8;0.063
2;8;0.004
5;8;0.125
7;8;0.002
9;8;0.018
14;8;0.065
23;8;0.029
24;8;0.007
12;8;0.08
20;8;0.38
22;8;0.154
19;8;0.007
25;9;0.078
10;9;0.105
4;9;0.166
2;9;0.011
5;9;0.148
7;9;0.033
9;9;0.013
14;9;0.02
24;9;0.014
12;9;0.012
20;9;0.374
22;9;0.023
0;9;0.002
25;10;0.028
10;10;0.194
4;10;0.247
2;10;0.017
5;10;0.067
7;10;0.162
14;10;0.05
12;10;0.028
20;10;0.208
25;11;0.04
10;11;0.268
4;11;0.229
2;11;0.062
5;11;0.053
7;11;0.158
14;11;0.032
12;11;0.067
20;11;0.082
1;11;0.002
0;11;0.006
14;3;0
14;4;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0
1;8;0
1;9;0
1;10;0
19;0;0
19;1;0
19;2;0
19;3;0
19;4;0
19;5;0
19;6;0
19;7;0
19;9;0
19;10;0
19;11;0
0;0;0
0;1;0
0;2;0
0;3;0
0;4;0
0;5;0
0;6;0
0;7;0
0;8;0
0;10;0
4;6;0
2;1;0
2;2;0
2;3;0
2;4;0
2;5;0
2;6;0
2;7;0
22;0;0
22;1;0
22;10;0
22;11;0
23;0;0
23;1;0
23;2;0
23;9;0
23;10;0
23;11;0
24;0;0
24;1;0
24;2;0
24;3;0
24;10;0
24;11;0
9;0;0
9;1;0
9;3;0
9;10;0
9;11;0
8;0;0
8;1;0
8;2;0
8;3;0
8;4;0
8;5;0
8;6;0
8;8;0
8;9;0
8;10;0
8;11;0
3;0;0
3;1;0
3;2;0
3;3;0
3;5;0
3;6;0
3;7;0
3;8;0
3;9;0
3;10;0
3;11;0
15;0;0
15;1;0
15;2;0
15;3;0
15;4;0
15;5;0
15;6;0
